collected_date,collected_time,collected_timezone,collected_site,collected_depth,collected_temp,calc_salinity,DIC_umol_kg,TA_umol_kg,pH_measured,pH_calculated,pCO2_uatm,Aragonite_Sat_W,sample_num,bottle_name,project_code
8/11/22,10:30:00,-04:00,Emerald Reef,7.32,29.44,35.94363989,2056.134857,2390.432005,8.029018725,8.009142654,448.9003787,3.857286265,5263,3I-5263,AD-Reciprocal Transplant-Aug 2022
8/11/22,15:20:00,-04:00,MacArthur Causeway North,1.52,30.56,33.93271671,2053.05728,2303.281811,7.914560502,7.888000916,616.7856169,3.042015537,5264,4D-5264,AD-Reciprocal Transplant-Aug 2022
10/26/22,9:30:00,-04:00,Emerald Reef,0,27.2222,35.80082453,2082.915234,2369.285657,8.055637621,7.969237737,502.0224194,3.305831686,5433,AD1027-3C5433,AD-Reciprocal Transplant-Oct 2022
11/17/22,9:59:00,-05:00,Emerald Reef,24,27.778,35.78510105,2114.361555,2358.043249,7.996058326,7.885845889,627.0878192,2.870353182,5931,ADRT6C-5931,AD-Reciprocal Transplant-Nov 2022
11/17/22,11:23:00,-05:00,MacArthur Cswy North,7,27.778,32.70070965,2228.665489,2387.50797,7.825723158,7.744545074,949.5146822,2.130455968,5933,ADRT4D-5933,AD-Reciprocal Transplant-Nov 2022
3/28/23,10:07:00,-04:00,Emerald Reef,6.1,25.56,36.67029486,1982.441226,2361.078106,8.180743855,8.130581562,314.0006972,4.159270741,7628,AD0328-14D-7628,AD-Reciprocal Transplant-Mar 2023
3/28/23,12:49:00,-04:00,MacArthur Causeway North,1.52,26.67,35.37357003,2108.782632,2385.440732,8.165176191,7.963502055,515.9883696,3.219790526,7629,AD0328-11C-7629,AD-Reciprocal Transplant-Mar 2023
7/11/23,11:20:00,-04:00,Emerald Reef,6.4,31.11,35.8594393,2033.87428,2357.929702,8.0533028,7.974279148,486.6844566,3.77793286,7438,AD071123-7438,AD-Reciprocal Transplant-Mar 2023
7/11/23,14:15:00,-04:00,MacArthur Causeway North,1.83,33.01,33.09275471,2059.653285,2341.965025,7.896302753,7.914245155,585.2126685,3.501657056,7437,AD071123-7437,AD-Reciprocal Transplant-Mar 2023
11/20/23,11:25:00,-05:00,Emerald Ree,7.65,26.56,35.70734788,2049.282487,2364.051056,8.007157818,8.028115099,424.9109228,3.578609646,10037,AD112023-10037,AD-Reciprocal Transplant-Nov 2023
11/20/23,14:47:00,-05:00,Mac North,1.83,25.89,32.38797677,2118.569683,2355.12837,7.928791032,7.943242112,553.1758605,2.8743805,10016,AD112023-10016,AD-Reciprocal Transplant-Nov 2023