Genet,Coral ID,OriginalSite,OutplantSite,Transplant,Type,T0_mortality,T1_mortality,T2_mortality,T3_mortality
1,7,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
1,8,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
1,9,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
1,10,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
1,11,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
1,12,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
2,19,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
2,20,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
2,21,MacN,Emerald,MacN -> Emerald,Experimental,1,1,0,0
2,22,MacN,Emerald,MacN -> Emerald,Experimental,1,1,1,1
2,23,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
2,24,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,31,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,32,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,33,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,34,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,35,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
3,36,MacN,Emerald,MacN -> Emerald,Experimental,1,0,0,0
4,43,Emerald,Emerald,Emerald -> Emerald,Control,1,0,0,1
4,44,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
4,45,Emerald,Emerald,Emerald -> Emerald,Control,1,0,0,0
4,46,Emerald,Emerald,Emerald -> Emerald,Control,1,0,0,0
4,47,Emerald,Emerald,Emerald -> Emerald,Control,1,0,0,0
4,48,Emerald,Emerald,Emerald -> Emerald,Control,1,0,0,0
5,55,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,56,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,57,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,58,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,59,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,60,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,61,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,62,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,0
5,63,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,64,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,65,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
5,66,Emerald,Emerald,Emerald -> Emerald,Control,1,1,1,1
1,13,MacN,MacN,MacN -> MacN,Control,1,1,1,0
1,14,MacN,MacN,MacN -> MacN,Control,1,1,1,1
1,15,MacN,MacN,MacN -> MacN,Control,1,1,1,0
1,16,MacN,MacN,MacN -> MacN,Control,1,1,1,1
1,17,MacN,MacN,MacN -> MacN,Control,1,1,1,1
1,18,MacN,MacN,MacN -> MacN,Control,1,1,1,1
2,25,MacN,MacN,MacN -> MacN,Control,1,1,0,0
2,26,MacN,MacN,MacN -> MacN,Control,1,1,0,0
2,27,MacN,MacN,MacN -> MacN,Control,1,1,1,1
2,28,MacN,MacN,MacN -> MacN,Control,1,1,1,0
2,29,MacN,MacN,MacN -> MacN,Control,1,0,0,0
2,30,MacN,MacN,MacN -> MacN,Control,1,1,1,1
3,37,MacN,MacN,MacN -> MacN,Control,1,1,1,0
3,38,MacN,MacN,MacN -> MacN,Control,1,1,1,1
3,39,MacN,MacN,MacN -> MacN,Control,1,1,1,1
3,40,MacN,MacN,MacN -> MacN,Control,1,1,1,0
3,41,MacN,MacN,MacN -> MacN,Control,1,1,1,0
3,42,MacN,MacN,MacN -> MacN,Control,1,1,1,0
4,49,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
4,50,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
4,51,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,0
4,52,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
4,53,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
4,54,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,67,Emerald,MacN,Emerald -> MacN,Experimental,1,1,0,0
5,68,Emerald,MacN,Emerald -> MacN,Experimental,1,1,0,0
5,69,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,70,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,71,Emerald,MacN,Emerald -> MacN,Experimental,1,1,0,0
5,72,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,73,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,74,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,75,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,76,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,77,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1
5,78,Emerald,MacN,Emerald -> MacN,Experimental,1,1,1,1